condition,n_total,n_extracted,extraction_rate_pct,R2_linear,R2_poly,R2_RF_oob,R2_SA,non_adherence_pct,best_regressor,overall_mean,overall_sd
baseline,1747,1740,99.59931310818546,0.9658242578148759,0.9717930298463444,0.9696905907358365,0.9717930298463444,2.8206970153655586,poly,7.303639846743295,2.109929979672137
phrase,1748,1748,100.0,0.9658827805755209,0.9699669778687592,0.967893291124836,0.9699669778687592,3.0033022131240816,poly,7.529176201372998,2.039887312640409
voice,1747,1744,99.8282770463652,0.9654066680188884,0.9704704227442882,0.9708828450319567,0.9708828450319567,2.9117154968043346,rf,7.353211009174312,2.120362986811389
lexicographic,1747,1746,99.94275901545507,0.9319391407815426,0.9548071312342821,0.9548406594684715,0.9548406594684715,4.515934053152848,rf,7.155211912943872,2.210801507938399
combined,1747,1746,99.94275901545507,0.964405058167589,0.9681502621907617,0.9670503412951155,0.9681502621907617,3.1849737809238277,poly,7.60442917143948,2.00846872616527
